project,story_id,run_id,user_story,review_status,classification_mode,final_rows,final_confidence,decision,disagreement_cause,action,why,uncertainty_band,uncertainty_score,consensus_ratio,disagreement_rate,hypothesis_count,label_overlap,normalized_entropy,taxonomy_version,prompt_version,policy_version,openai_rows,openai_confidence,openai_needs_review,gemini_rows,gemini_confidence,gemini_needs_review,deepseek_rows,deepseek_confidence,deepseek_needs_review,groq_rows,groq_confidence,groq_needs_review
P02,us_9471d34048d96763,run_677b34ee21ed405a9beec70a89e371e5,"As a system administrator, I want to create, read, update, and delete API servers so that I can manage backend service endpoints efficiently.",accepted_auto,classify_only,n/a::n/a,0.9,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.5337,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.9,False,,,,n/a::n/a,0.3,True,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,1.0,False
P02,us_2e9621368878168c,run_677b34ee21ed405a9beec70a89e371e5,"As a designer, I want to create, read, update, and delete diagrams so that I can manage visual representations of system components.",accepted_auto,classify_only,n/a::n/a,0.25,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6062,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.45,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,1.0,False
P03,us_e486a6ac1ccad118,run_850d94a02b224c618edc459c01858558,"As a user, I want to add the intended use for each defined metric so that I can specify how each metric should be applied.",accepted_auto,classify_only,n/a::n/a,0.74,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.43,0.3333,0.6667,3,0.3333,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data,0.74,False,,,,Registry::Update data,0.7,False,Registry::Insert data | Registry::Update data,0.8,False
P03,us_a0b88b012c1cf1e9,run_850d94a02b224c618edc459c01858558,"As a user, I want to add more advantages to each defined metric so that I can document the benefits associated with each metric.",accepted_auto,classify_only,n/a::n/a,0.0,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.43,0.3333,0.6667,3,0.3333,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data,0.74,False,,,,Registry::Update data,0.7,False,Registry::Insert data | Registry::Update data,0.8,False
P03,us_c4bf0091066dc1c5,run_850d94a02b224c618edc459c01858558,"As a user, I want to use the sum of the validation criteria associated with the advantages of a given metric to determine the variance so that I can analyze performance variations accurately.",accepted_auto,classify_only,n/a::n/a,0.2,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6403,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.34,True,,,,n/a::n/a,0.2,True,Registry::Insert data | Registry::Update data | Registry::Retrieve data,0.8,False
P03,us_ac5ed181fbb00ab5,run_850d94a02b224c618edc459c01858558,"As a user, I want to view the validation criteria associated with each selected advantage for each defined metric so that I can verify the evaluation process of each metric.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.6733,0.3333,0.6667,3,0.1667,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Retrieve data,0.62,True,,,,n/a::n/a,0.3,True,Registry::Retrieve data | Management::View dashboard,0.8,False
P03,us_a0ff1344800ad817,run_850d94a02b224c618edc459c01858558,"As a user, I want to modify the Bayesian network structure so that I can adjust the model according to updated dependencies or relationships.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6403,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,n/a::n/a,0.42,True,,,,n/a::n/a,0.3,True,Modify input behavior::Insert data | Modify input behavior::Update data,0.8,False
P03,us_c92bf19900f32c75,run_850d94a02b224c618edc459c01858558,"As a user, I want to define thresholds so that I can set performance or alert limits for the analyzed metrics.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.6867,0.3333,0.6667,3,0.0,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Modify input behavior,0.64,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
P03,us_415910930c4a2a78,run_850d94a02b224c618edc459c01858558,"As a user, I want to have the CPT appear as a tab in the properties panel so that I can easily access and edit conditional probability data.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.6633,0.3333,0.6667,3,0.0,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Retrieve data | Registry::Update data,0.74,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
P03,us_dbf6cb0541320777,run_850d94a02b224c618edc459c01858558,"As a user, I want the CPT to appear as a tab in the properties panel so that I can easily access and edit conditional probability data.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.68,0.3333,0.6667,3,0.0,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Retrieve data | Registry::Update data,0.72,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
P03,us_78fa2b7278df5b0a,run_850d94a02b224c618edc459c01858558,"As a user, I want to edit node state names so that I can customize and clarify the meaning of each state within the network.",accepted_auto,,Registry::Update data,0.81,accept,annotation_error_suspected,ask_human,"Todos os modelos concordam em 'Registry/Update data' com alta confiança, mas a história pode ter ambiguidade sobre se é apenas UI ou altera lógica, sugerindo possível erro de anotação.",low,0.0483,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Update data,0.72,False,,,,Registry::Update data,0.9,False,Registry::Update data,0.8,False
P03,us_8e25b1e0c2fd1ceb,run_850d94a02b224c618edc459c01858558,"As a user, I want to create node properties so that I can define the characteristics and parameters associated with each node in the network.",accepted_auto,classify_only,n/a::n/a,0.77,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4362,0.6667,0.3333,2,0.6667,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data,0.72,True,,,,Registry::Insert data,0.8,False,Registry::Insert data | Management::View dashboard,0.8,False
P04,us_b2d2d37a1743e863,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to create a new project so that I can start activities.",accepted_auto,classify_only,n/a::n/a,0.77,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.5637,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Insert data,0.74,False,,,,n/a::n/a,0.3,True,Registry::Insert data,0.8,False
P04,us_23a0e3b1565144b9,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to edit project information so that I can make necessary changes.",accepted_auto,,Registry::Update data,0.82,accept,model_instability,none,"Resultado escolhido por maioria simples do comite, sem arbitro.",low,0.045,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Update data,0.76,False,,,,Registry::Update data,0.9,False,Registry::Update data,0.8,False
P04,us_074bf9c45a371fac,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to view project information so that I can understand its context.",accepted_auto,classify_only,n/a::n/a,0.81,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,low,0.1967,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Retrieve data,0.74,True,,,,Registry::Retrieve data,0.9,False,Registry::Retrieve data,0.8,False
P04,us_df915faf3a4d5573,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to add tags when creating a User Story.",accepted_auto,classify_only,n/a::n/a,0.76,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4862,0.6667,0.3333,2,0.5556,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Insert data,0.72,True,,,,Registry::Insert data,0.8,False,Registry::Insert data | Authentication::n/a | Management::n/a,0.8,False
P04,us_855a64d939a3c07e,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to edit the tags added to a User Story.",accepted_auto,,Registry::Update data,0.81,accept,model_instability,none,"Resultado escolhido por maioria simples do comite, sem arbitro.",low,0.0483,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Update data,0.72,False,,,,Registry::Update data,0.9,False,Registry::Update data,0.8,False
P04,us_b3021d5d8a4934ff,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to add tags when creating a task.",accepted_auto,,Registry::Insert data,0.78,accept,model_instability,none,"Resultado escolhido por maioria simples do comite, sem arbitro.",low,0.055,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Insert data,0.74,False,,,,Registry::Insert data,0.8,False,Registry::Insert data,0.8,False
P04,us_7b5d720a8a1caf4d,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to edit the tags added to a task.",accepted_auto,,Registry::Update data,0.79,accept,model_instability,none,"Resultado escolhido por maioria simples do comite, sem arbitro.",low,0.0533,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Update data,0.66,False,,,,Registry::Update data,0.9,False,Registry::Update data,0.8,False
P04,us_58e5682ee8137820,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to add Curriculum Vitae tags on the developer profile page.",accepted_auto,classify_only,n/a::n/a,0.73,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.5137,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Update data,0.66,True,,,,Registry::Update data,0.8,False,Registry::Insert data | Authentication::n/a | Management::n/a,0.8,False
P04,us_16a83fd04309cd8c,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to edit Curriculum Vitae tags on the developer profile page.",accepted_auto,classify_only,n/a::n/a,0.82,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4762,0.6667,0.3333,2,0.5556,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Update data,0.74,True,,,,Registry::Update data,0.9,False,Registry::Update data | Authentication::n/a | Management::n/a,0.8,False
P04,us_4e491bfa5811a51d,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to delete Curriculum Vitae tags on the developer profile page.",accepted_auto,,Registry::Remove data,0.85,accept,model_instability,none,"Resultado escolhido por maioria simples do comite, sem arbitro.",low,0.0383,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Remove data,0.74,False,,,,Registry::Remove data,0.9,False,Registry::Remove data,0.9,False
P04,us_bff8b7cdb03a01da,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to retrieve the developer’s Development History tags.",accepted_auto,classify_only,n/a::n/a,0.85,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,low,0.1883,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Retrieve data,0.74,True,,,,Registry::Retrieve data,0.9,False,Registry::Retrieve data,0.9,False
P04,us_9de870a5ee579a3b,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to see a list of tag suggestions while typing a new tag.",accepted_auto,classify_only,n/a::n/a,0.8,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.6633,0.3333,0.6667,3,0.0,1.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Modify input behavior,0.74,False,,,,n/a::n/a,0.3,True,Modify input behavior::Insert data,0.8,False
P04,us_2483b6fc38c0b88b,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to access tag usage statistics in my project.",accepted_auto,classify_only,n/a::n/a,0.77,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4953,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Retrieve data,0.74,True,,,,Management::View dashboard,0.7,False,Registry::Retrieve data,0.8,False
P04,us_7eeb465bf4ba9d90,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to define the project goal (prototype or product) and the architectures used.",accepted_auto,classify_only,n/a::n/a,0.8,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.6733,0.3333,0.6667,3,0.1667,1.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Insert data,0.62,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Registry::Update data,0.8,False
P04,us_824111f80c0a6a79,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to define a category for a requirement.",accepted_auto,classify_only,n/a::n/a,0.8,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.6725,0.3333,0.6667,3,0.1667,1.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Insert data,0.63,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
P04,us_04431f195fc0d15c,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to view my project participation history.",accepted_auto,classify_only,n/a::n/a,0.81,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,low,0.2117,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Retrieve data,0.74,True,,,,Registry::Retrieve data,0.9,False,Registry::Retrieve data,0.8,False
P04,us_1a104bb6e42dfa34,run_825bfc12d2ea491daaa5bc75e4356a08,"As a user, I want to create my structured résumé.",accepted_auto,classify_only,n/a::n/a,0.73,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4412,0.6667,0.3333,2,0.6667,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Insert data,0.66,True,,,,Registry::Insert data,0.8,False,Registry::Insert data | Management::View dashboard,0.8,False
P04,us_976475b1cedadb2f,run_825bfc12d2ea491daaa5bc75e4356a08,"As a developer, I want to create an API for project data extraction so that I can access and use project data programmatically.",accepted_auto,classify_only,n/a::n/a,0.9,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.665,0.3333,0.6667,3,0.0833,1.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Retrieve data,0.62,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.9,False
P04,us_8913e1d8ad53b80b,run_825bfc12d2ea491daaa5bc75e4356a08,"As a developer, I want to create an API for developer data extraction so that I can retrieve and analyze developer-related information programmatically.",accepted_auto,classify_only,n/a::n/a,0.72,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4645,0.6667,0.3333,2,0.5556,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Retrieve data,0.74,True,,,,Registry::Retrieve data,0.7,True,Registry::Insert data | Registry::Retrieve data | Registry::Update data,0.9,False
P05,us_ae158ada6ea3cecf,run_5743712ad87947b3a5eddfc773b2d33b,"As a Scrum Master, I want to edit the questionnaire responses to better represent a factor.",accepted_auto,classify_only,n/a::n/a,0.81,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,low,0.1983,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Update data,0.72,True,,,,Registry::Update data,0.9,False,Registry::Update data,0.8,False
P05,us_49646e52b1565f04,run_5743712ad87947b3a5eddfc773b2d33b,"As a project participant, I want to manage actions so that I can change their status.",accepted_auto,classify_only,n/a::n/a,0.71,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.5587,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Update data,0.62,True,,,,n/a::n/a,0.3,True,Registry::Update data,0.8,False
P05,us_1bdb0c8961e20dcb,run_5743712ad87947b3a5eddfc773b2d33b,"As a Scrum Master, I want to view the categories so that I can answer the questionnaire.",accepted_auto,classify_only,n/a::n/a,0.73,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.5553,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Retrieve data,0.66,True,,,,n/a::n/a,0.3,True,Registry::Retrieve data,0.8,False
P05,us_e1b252899cf05ec3,run_5743712ad87947b3a5eddfc773b2d33b,"As a Scrum Master, I want to map and manage node practices.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6353,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,n/a::n/a,0.4,True,,,,n/a::n/a,0.2,True,Management::View dashboard | Management::Export report to PDF | Management::Export report to XLS | Management::Notify via app | Management::Notify by email,0.8,False
P05,us_20bd3ea673698edf,run_5743712ad87947b3a5eddfc773b2d33b,"As a Scrum Master, I want to define which practices are being used to execute activities in the Bayesian Network.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6353,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,n/a::n/a,0.4,True,,,,n/a::n/a,0.2,True,Registry::Insert data | Registry::Update data,0.8,False
P05,us_1fb814de2eafc5da,run_5743712ad87947b3a5eddfc773b2d33b,"As a Scrum Master, I want to view which practices were used in each sprint to execute the activities so that I can analyze the Bayesian Network nodes.",accepted_auto,classify_only,n/a::n/a,0.77,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4637,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Retrieve data,0.74,True,,,,Management::View dashboard,0.9,False,Registry::Retrieve data,0.8,False
P05,us_0af43ab212a01f79,run_5743712ad87947b3a5eddfc773b2d33b,"As a Scrum Master, I want to visualize the practices being used and the quality of their execution.",accepted_auto,,Management::View dashboard,0.84,accept,model_instability,none,"Resultado escolhido por maioria simples do comite, sem arbitro.",low,0.3103,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Management::View dashboard,0.78,False,,,,Management::View dashboard,0.9,False,Registry::Retrieve data,0.8,False
P05,us_c890a95e7d7a2d88,run_5743712ad87947b3a5eddfc773b2d33b,"As a Scrum Master, I want to add practices for project control.",accepted_auto,classify_only,n/a::n/a,0.35,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.627,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,n/a::n/a,0.4,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
P05,us_4a59a2ec318cab34,run_5743712ad87947b3a5eddfc773b2d33b,"As a Scrum Master, I want to add metrics to evaluate sprint factors.",accepted_auto,classify_only,n/a::n/a,0.36,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6103,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,n/a::n/a,0.42,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Management::View dashboard,0.8,False
P05,us_2eca924bfbf6194a,run_5743712ad87947b3a5eddfc773b2d33b,"As a Scrum Master, I want to input information through an automatic data source.",accepted_auto,classify_only,n/a::n/a,0.76,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.5653,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,Registry::Insert data,0.72,True,,,,n/a::n/a,0.3,True,Registry::Insert data,0.8,False
P05,us_37f2db11ec09d04c,run_5743712ad87947b3a5eddfc773b2d33b,"As a Scrum Master, I want to create a boolean node.",accepted_auto,classify_only,n/a::n/a,0.28,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.6245,0.6667,0.3333,2,0.3333,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2_no_arbiter,n/a::n/a,0.35,True,,,,n/a::n/a,0.2,True,Registry::Insert data,0.8,False
